scene,subset,n_bands,parameter,r_squared_mean,r_squared_sd,relative_rmse_pct_mean,relative_rmse_pct_sd
02_Argentina,5-band multispectral (no SWIR),5,Cw,-0.9988343904103824,0.15197365764550647,40.78917664802805,1.5447275582916298
02_Argentina,5-band multispectral (no SWIR),5,LAI,0.12002091198985605,0.060782836797578885,27.06582350858625,0.938364719386796
02_Argentina,5-band multispectral (no SWIR),5,N,-0.026603831624773887,0.1334664930034186,29.19456354017896,1.8591363968943377
02_Argentina,Full hyperspectral (valid bands),366,Ant,0.09893170509985928,0.08736772942485016,27.371997814934105,1.3364332564961399
02_Argentina,Full hyperspectral (valid bands),366,Cab,0.8722861140092799,0.018180182029512257,10.293453359029046,0.7210508230327308
02_Argentina,Full hyperspectral (valid bands),366,Car,-0.32848502676433167,0.10221274807337606,33.25289269652346,1.274933060243607
02_Argentina,Full hyperspectral (valid bands),366,Cm,0.6408688199619524,0.025994694084901147,17.289704104325423,0.6226310078955243
02_Argentina,Full hyperspectral (valid bands),366,Cw,0.8732765776959394,0.010684874684297968,10.26885673652142,0.4318868250453364
02_Argentina,Full hyperspectral (valid bands),366,LAI,0.4986799378087968,0.05151779742250107,20.41653254674039,1.0336268196566178
02_Argentina,Full hyperspectral (valid bands),366,N,0.1932176748033479,0.0890284630387007,25.89150526885636,1.4518396113554655
03_Germany,+ SWIR window ±100 nm,85,Ant,0.028490263463362208,0.09633535322594747,28.421641567243647,1.396264310890778
03_Germany,+ SWIR window ±100 nm,85,Cab,0.8427692078514474,0.01923513304592414,11.426485327497687,0.7112503956701643
03_Germany,+ SWIR window ±100 nm,85,Car,-0.8946501818938799,0.15267347545400664,39.70685700362587,1.5858690333479029
03_Germany,+ SWIR window ±100 nm,85,Cm,0.6924379038997704,0.03418485713022285,15.9864372751899,0.875206624837735
03_Germany,+ SWIR window ±100 nm,85,Cw,0.9077421061750334,0.009422089861816245,8.758353433628928,0.45169328735193487
03_Germany,+ SWIR window ±100 nm,85,LAI,0.46089467372222925,0.05008146338112871,21.173541906491945,0.9898795660840332
03_Germany,+ SWIR window ±100 nm,85,N,0.2700074349853405,0.06675278056007723,24.641651561566192,1.1188776241457081
03_Germany,+ SWIR window ±150 nm,125,Ant,-0.10680361881102521,0.09379616348559604,30.344449603653565,1.2881299113638427
03_Germany,+ SWIR window ±150 nm,125,Cab,0.8094650917324497,0.028772235941523665,12.56930751095953,0.9341691778321439
03_Germany,+ SWIR window ±150 nm,125,Car,-0.9752140371824541,0.1413267554861824,40.54842176756743,1.4396578536756248
03_Germany,+ SWIR window ±150 nm,125,Cm,0.7832431202184118,0.02398407908369636,13.420382343832557,0.7400519775066258
03_Germany,+ SWIR window ±150 nm,125,Cw,0.9130417996653464,0.008959748111069105,8.50261647550108,0.4481747551700432
03_Germany,+ SWIR window ±150 nm,125,LAI,0.533950040157369,0.03014153664533158,19.69666910617259,0.6410853409974648
03_Germany,+ SWIR window ±150 nm,125,N,0.313784735153094,0.06396218739007159,23.890072223534066,1.1162206444615657
03_Germany,+ SWIR window ±200 nm,165,Ant,-0.19876867953388155,0.0719810614524492,31.59260891527299,0.9475695928401611
03_Germany,+ SWIR window ±200 nm,165,Cab,0.7704146142911907,0.02022572078259721,13.819053459637107,0.6192605518435016
03_Germany,+ SWIR window ±200 nm,165,Car,-0.9674569055970232,0.1274952266564407,40.47274227621641,1.3133869222681003
03_Germany,+ SWIR window ±200 nm,165,Cm,0.8194373734127629,0.015585586967570954,12.255275232188941,0.5251842599725416
03_Germany,+ SWIR window ±200 nm,165,Cw,0.9125429796480974,0.0067535002280623944,8.531865859942119,0.32814204911107203
03_Germany,+ SWIR window ±200 nm,165,LAI,0.5755966103947634,0.035967767085767384,18.789750567873618,0.7959129981986358
03_Germany,+ SWIR window ±200 nm,165,N,0.3223028516006117,0.04021781264280808,23.755254174774894,0.7037853166251666
03_Germany,+ SWIR window ±50 nm,45,Ant,0.1587656583986205,0.0934014008518465,26.440466338100357,1.4507376470950093
03_Germany,+ SWIR window ±50 nm,45,Cab,0.8564756573364969,0.016214225131351793,10.920394159159597,0.6180521907769174
03_Germany,+ SWIR window ±50 nm,45,Car,-0.9443564517242212,0.07359878867853582,40.247075705373355,0.7595747320440193
03_Germany,+ SWIR window ±50 nm,45,Cm,0.5212762587389832,0.045297947044250525,19.950993201152887,0.9549660608054026
03_Germany,+ SWIR window ±50 nm,45,Cw,0.8345566050665415,0.012872284301255015,11.734391453320109,0.4570927697638679
03_Germany,+ SWIR window ±50 nm,45,LAI,0.34383964475887757,0.06530213457573729,23.355887842486332,1.1681177005787857
03_Germany,+ SWIR window ±50 nm,45,N,0.03222072610471527,0.07507161458729003,28.378742805586235,1.1221671809594287
03_Germany,5-band multispectral (no SWIR),5,Ant,0.4858086481964654,0.05227292894323803,20.674812954445386,1.0609513321531168
03_Germany,5-band multispectral (no SWIR),5,Cab,0.9073573410292294,0.005862093249451837,8.782302786110417,0.2781521254075297
03_Germany,5-band multispectral (no SWIR),5,Car,-0.762247750464484,0.12935581660284798,38.29931272229403,1.4007135233926737
03_Germany,5-band multispectral (no SWIR),5,Cm,0.23588249570569006,0.0942179338600061,25.187498767542824,1.5763185244313649
03_Germany,5-band multispectral (no SWIR),5,Cw,-1.101858347227739,0.07781588100706752,41.84737561298341,0.7643419352507278
03_Germany,5-band multispectral (no SWIR),5,LAI,0.11568350499431115,0.07651047050436965,27.12228800780436,1.16855507512612
03_Germany,5-band multispectral (no SWIR),5,N,-0.016161512653834254,0.08528544502637732,29.077436393062232,1.2070051339194086
03_Germany,Full hyperspectral (valid bands),366,Ant,0.039833478062911286,0.08053319689044891,28.263263228938094,1.1819087550321539
03_Germany,Full hyperspectral (valid bands),366,Cab,0.8662776668016177,0.008573764636874693,10.551040399357493,0.3415576834185473
03_Germany,Full hyperspectral (valid bands),366,Car,-0.4099155557744485,0.08719211495303847,34.26350593418601,1.0484600361343173
03_Germany,Full hyperspectral (valid bands),366,Cm,0.6747374743962078,0.022551284189218028,16.45319031076581,0.5735141167059621
03_Germany,Full hyperspectral (valid bands),366,Cw,0.8830896826883968,0.007964054317294196,9.865897538567008,0.3312284821931445
03_Germany,Full hyperspectral (valid bands),366,LAI,0.4957011485525493,0.04269484530052423,20.482489406282138,0.8577405120417612
03_Germany,Full hyperspectral (valid bands),366,N,0.2209721496583627,0.06382773654373075,25.46037256156441,1.0328609606570078
04_Denmark,+ SWIR window ±100 nm,85,Ant,0.026400456292460295,0.07133862513895053,28.46654799569213,1.0416412331342377
04_Denmark,+ SWIR window ±100 nm,85,Cab,0.8545358516327856,0.018179505867137714,10.990472995295203,0.701823207497323
04_Denmark,+ SWIR window ±100 nm,85,Car,-0.9876153160023197,0.1613197832632933,40.67023377211253,1.6721659147697383
04_Denmark,+ SWIR window ±100 nm,85,Cm,0.6970252095364708,0.039784095877764526,15.857762993708471,1.0386267745756255
04_Denmark,+ SWIR window ±100 nm,85,Cw,0.9135044571568007,0.009571104595281101,8.478337191955152,0.4791159823974151
04_Denmark,+ SWIR window ±100 nm,85,LAI,0.4738050558556578,0.030988245467115663,20.934791976880035,0.6144366001415796
04_Denmark,+ SWIR window ±100 nm,85,N,0.28920283546542647,0.08252525913382562,24.30290009867823,1.4121860416330452
04_Denmark,+ SWIR window ±150 nm,125,Ant,-0.13799217610792897,0.08097615351727269,30.777848846784742,1.0841656592395739
04_Denmark,+ SWIR window ±150 nm,125,Cab,0.8251528569639142,0.025415891415767267,12.043950113388535,0.8595001914586631
04_Denmark,+ SWIR window ±150 nm,125,Car,-0.9851791867926829,0.1238743289366488,40.65791858006648,1.2830990685509727
04_Denmark,+ SWIR window ±150 nm,125,Cm,0.7820668909292066,0.03339040355350069,13.440315007435178,1.0229572637766648
04_Denmark,+ SWIR window ±150 nm,125,Cw,0.9186974343091325,0.006297490230898966,8.22599768381631,0.3230243741959582
04_Denmark,+ SWIR window ±150 nm,125,LAI,0.5326418086176358,0.04355649986888456,19.718364022568668,0.9087831430707529
04_Denmark,+ SWIR window ±150 nm,125,N,0.3290829310666405,0.08158967191466006,23.609111962126818,1.414775747319592
04_Denmark,+ SWIR window ±200 nm,165,Ant,-0.2608184129513808,0.09713961861221979,32.392672659489776,1.2512706775277787
04_Denmark,+ SWIR window ±200 nm,165,Cab,0.7807683463627442,0.0240242127494025,13.498912009075351,0.7382637434362832
04_Denmark,+ SWIR window ±200 nm,165,Car,-0.9474944340810728,0.14268032165802708,40.26361449914004,1.4873488274373643
04_Denmark,+ SWIR window ±200 nm,165,Cm,0.818790466035642,0.021748188119306188,12.268154698401785,0.7296314352713831
04_Denmark,+ SWIR window ±200 nm,165,Cw,0.9140868222083028,0.00899989223960245,8.451002179012168,0.45294595901914725
04_Denmark,+ SWIR window ±200 nm,165,LAI,0.5823424443475387,0.035814048924727684,18.64266039555121,0.8041263461607834
04_Denmark,+ SWIR window ±200 nm,165,N,0.32540798251146796,0.07812322189216502,23.67738251228571,1.349436110337503
04_Denmark,+ SWIR window ±50 nm,45,Ant,0.18211834589275466,0.05985653818594606,26.091418925345657,0.9463645844709138
04_Denmark,+ SWIR window ±50 nm,45,Cab,0.8723288797530759,0.014186518160059525,10.301146883768276,0.568832529567228
04_Denmark,+ SWIR window ±50 nm,45,Car,-1.005063682556877,0.11778741448062005,40.863293891022415,1.2015686017639267
04_Denmark,+ SWIR window ±50 nm,45,Cm,0.5381819751907344,0.04518155793987078,19.594811446295694,0.9620882773915076
