seed_idx,lut_seed,truth_seed,noise_seed,cost,subset,n_bands,parameter,rmse,r_squared,relative_rmse_pct,scene,sun_zenith
2,768371,741424,413364,sse,+ SWIR window ±100 nm,85,N,0.4040720290735552,0.12927756693366965,26.938135271570346,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±100 nm,85,Cab,8.345638635265034,0.8694244619525001,10.432048294081294,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±100 nm,85,Car,7.814748269111903,-0.8309697389314472,39.07374134555952,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±100 nm,85,Ant,2.8030661144613274,0.05681919379003242,28.030661144613276,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±100 nm,85,Cw,0.004460214521772337,0.8963587386173089,9.292113587025701,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±100 nm,85,Cm,0.0029408713635649506,0.6796911274190685,16.338174242027502,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±100 nm,85,LAI,1.2208467976762074,0.40910695458044555,22.19721450320377,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±150 nm,125,N,0.37871210541810163,0.23514249658611686,25.24747369454011,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±150 nm,125,Cab,9.415240494941306,0.8338097627799428,11.769050618676633,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±150 nm,125,Car,7.694431875644747,-0.7750242818444506,38.472159378223736,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±150 nm,125,Ant,2.9166599096018326,-0.02117425188955746,29.166599096018324,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±150 nm,125,Cw,0.004184329777585527,0.9087835837742635,8.717353703303182,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±150 nm,125,Cm,0.0024705483837077096,0.7739504540171877,13.725268798376163,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±150 nm,125,LAI,1.1490710987558137,0.47654380403186614,20.89220179556025,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±200 nm,165,N,0.3642107987866095,0.29259554015351275,24.280719919107298,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±200 nm,165,Cab,10.280512334851483,0.8018599860453433,12.850640418564353,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±200 nm,165,Car,8.038202951336059,-0.937176157292648,40.191014756680296,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±200 nm,165,Ant,3.1717936511739255,-0.20764176015568991,31.717936511739254,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±200 nm,165,Cw,0.004042818381550515,0.9148490184398896,8.422538294896906,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±200 nm,165,Cm,0.0021932626236503424,0.8218449295643986,12.184792353613012,01_France,47.42478942871094
2,768371,741424,413364,sse,+ SWIR window ±200 nm,165,LAI,1.0367266974385947,0.5738964948284498,18.84957631706536,01_France,47.42478942871094
2,768371,741424,413364,sse,Full hyperspectral (valid bands),366,N,0.3954564159053296,0.16601275498652956,26.363761060355305,01_France,47.42478942871094
