seed_idx,lut_seed,truth_seed,noise_seed,cost,subset,n_bands,parameter,rmse,r_squared,relative_rmse_pct
2,335117,984926,962640,sse,+ SWIR window ±100 nm,85,Cm,0.002489212583575259,0.7705415002185965,13.828958797640327
2,335117,984926,962640,sse,+ SWIR window ±100 nm,85,LAI,1.1386354663688802,0.48505547126317816,20.702463024888733
2,335117,984926,962640,sse,+ SWIR window ±150 nm,125,N,0.30700568465969036,0.49779565971381146,20.467045643979358
2,335117,984926,962640,sse,+ SWIR window ±150 nm,125,Cab,8.585219367629414,0.8618063363279691,10.731524209536767
2,335117,984926,962640,sse,+ SWIR window ±150 nm,125,Car,7.987226582986176,-0.9140946627680901,39.93613291493088
2,335117,984926,962640,sse,+ SWIR window ±150 nm,125,Ant,2.660502029088533,0.15076961464483152,26.605020290885328
2,335117,984926,962640,sse,+ SWIR window ±150 nm,125,Cw,0.0037063383865006427,0.9284100319437302,7.721538305209672
2,335117,984926,962640,sse,+ SWIR window ±150 nm,125,Cm,0.002071144283672771,0.8411450020505371,11.506357131515394
2,335117,984926,962640,sse,+ SWIR window ±150 nm,125,LAI,1.047063315851761,0.5645513762231963,19.037514833668382
2,335117,984926,962640,sse,Full hyperspectral (valid bands),366,N,0.3249986141258798,0.4372044620120459,21.666574275058654
2,335117,984926,962640,sse,Full hyperspectral (valid bands),366,Cab,6.623506209438972,0.9177452033683019,8.279382761798715
2,335117,984926,962640,sse,Full hyperspectral (valid bands),366,Car,6.009681310016891,-0.08361320124591254,30.048406550084458
2,335117,984926,962640,sse,Full hyperspectral (valid bands),366,Ant,2.3447994665119007,0.34035579872665134,23.447994665119005
2,335117,984926,962640,sse,Full hyperspectral (valid bands),366,Cw,0.004319169560708797,0.9027784499481286,8.998269918143329
2,335117,984926,962640,sse,Full hyperspectral (valid bands),366,Cm,0.002694708984097872,0.7310918810110978,14.970605467210396
2,335117,984926,962640,sse,Full hyperspectral (valid bands),366,LAI,1.0478319001332577,0.5639118699085187,19.051489093331956
3,842245,309913,399580,sse,5-band multispectral (no SWIR),5,N,0.4254958687651755,0.03432398257974045,28.366391251011695
3,842245,309913,399580,sse,5-band multispectral (no SWIR),5,Cab,7.588373834882306,0.8919889182276788,9.485467293602884
3,842245,309913,399580,sse,5-band multispectral (no SWIR),5,Car,7.765013978818485,-0.809003983484387,38.82506989409242
3,842245,309913,399580,sse,5-band multispectral (no SWIR),5,Ant,2.082686596387249,0.47998263550763354,20.826865963872493
3,842245,309913,399580,sse,5-band multispectral (no SWIR),5,Cw,0.019255532347324012,-0.9319864541133596,40.11569239025835
3,842245,309913,399580,sse,5-band multispectral (no SWIR),5,Cm,0.00478290595608513,0.1533704227306164,26.571699756028497
3,842245,309913,399580,sse,5-band multispectral (no SWIR),5,LAI,1.5344219231314358,0.06655146347064977,27.89858042057156
3,842245,309913,399580,sse,+ SWIR window ±100 nm,85,N,0.3232321295778243,0.44272469616117094,21.54880863852162
3,842245,309913,399580,sse,+ SWIR window ±100 nm,85,Cab,7.8689143677819455,0.8838550000001563,9.836142959727432
3,842245,309913,399580,sse,+ SWIR window ±100 nm,85,Car,8.041536086331913,-0.9401400005298421,40.20768043165957
3,842245,309913,399580,sse,+ SWIR window ±100 nm,85,Ant,2.5199896036949245,0.23867954233717115,25.199896036949248
3,842245,309913,399580,sse,+ SWIR window ±100 nm,85,Cw,0.003856531121104287,0.922502677492138,8.03443983563393
3,842245,309913,399580,sse,+ SWIR window ±100 nm,85,Cm,0.002302143057362773,0.8038562976969174,12.789683652015404
3,842245,309913,399580,sse,+ SWIR window ±100 nm,85,LAI,1.1684998329639715,0.45867498239468407,21.245451508435846
3,842245,309913,399580,sse,+ SWIR window ±150 nm,125,N,0.30730154270296167,0.49630199441680567,20.486769513530778
3,842245,309913,399580,sse,+ SWIR window ±150 nm,125,Cab,8.608018194489437,0.8610120233950974,10.760022743111797
3,842245,309913,399580,sse,+ SWIR window ±150 nm,125,Car,7.9155178917934785,-0.8798089334576542,39.577589458967395
3,842245,309913,399580,sse,+ SWIR window ±150 nm,125,Ant,2.8462531161165576,0.028781290541294302,28.46253116116558
3,842245,309913,399580,sse,+ SWIR window ±150 nm,125,Cw,0.003662066552357828,0.9301211928655679,7.629305317412142
3,842245,309913,399580,sse,+ SWIR window ±150 nm,125,Cm,0.0019245425392616297,0.8629229393276636,10.69190299589794
3,842245,309913,399580,sse,+ SWIR window ±150 nm,125,LAI,1.001342096275006,0.6024738177538054,18.206219932272834
